name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia
Voronezh	Vorónezh,Воронеж,沃罗涅日,Voronej,Woronesch	relation	3536492	place	city	39.18601961728115	51.678725312105115	16	0.594572219918375		Voronezh		Voronezh Oblast	Russia	ru	Voronezh, Voronezh Oblast, Central Federal District	39.01323375795999	51.48486563802293	39.659647890901084	51.90261918927669		ru:Воронеж
Voronezh	Vorónezh,Воронеж,Voronej,Woronesch	node	27505044	place	city	39.21294894578017	51.65487963576676	16	0.594572219918375		Voronezh		Voronezh Oblast	Russia	ru	Voronezh, Voronezh, Voronezh Oblast, Central Federal District	39.21294894578017	51.65487963576676	39.21294894578017	51.65487963576676		ru:Воронеж
Sochi	Сочи,Sotchi,Sotschi	relation	1430508	place	city	39.588373359757114	43.70780118424265	16	0.5927423428640028		Sochi	городской округ Сочи	Krasnodar Krai	Russia	ru	Sochi, городской округ Сочи, Krasnodar Krai, South federal district	39.149369695638114	43.38484394039619	40.00905884025832	44.030946937091485		ru:Сочи
Rostov-on-Don	Ростов-на-Дону,Rostov-sur-le-Don,Rostov del Don,Rostow am Don	node	160569651	place	city	39.70227556823257	47.22491346997016	16	0.5893194127943858		Rostov-on-Don		Rostov Oblast	Russia	ru	Rostov-on-Don, Rostov-on-Don, Rostov Oblast, South federal district	39.70227556823257	47.22491346997016	39.70227556823257	47.22491346997016		ru:Ростов-на-Дону
Krasnoyarsk	Krasnoïarsk,Krasnojarsk,Красноярск	node	178951928	place	city	92.8706218572671	56.008265632866014	16	0.5886968216405593		Krasnoyarsk	Krasnoyarsk Urban Okrug	Krasnoyarsk Krai	Russia	ru	Krasnoyarsk, Krasnoyarsk, Krasnoyarsk Urban Okrug, Krasnoyarsk Krai, Siberian Federal District	92.8706218572671	56.008265632866014	92.8706218572671	56.008265632866014		ru:Красноярск
Chelyabinsk	Tcheliabinsk,Cheliábinsk,Tscheljabinsk,車里雅賓斯克,Челябинск	relation	4442556	place	city	61.40137278105047	55.15669675031178	16	0.5880368258489094		Chelyabinsk		Chelyabinsk Oblast	Russia	ru	Chelyabinsk, Chelyabinsk Oblast, Ural Federal District	61.143641537995386	54.99093334139576	61.59155795455225	55.320812360882904		ru:Челябинск
Chelyabinsk	Tcheliabinsk,Cheliábinsk,Tscheljabinsk,車里雅賓斯克,Челябинск	node	27504156	place	city	61.40255467134981	55.15984076028264	16	0.5880368258489094		Chelyabinsk		Chelyabinsk Oblast	Russia	ru	Chelyabinsk, Chelyabinsk, Chelyabinsk Oblast, Ural Federal District	61.40255467134981	55.15984076028264	61.40255467134981	55.15984076028264		ru:Челябинск
Saratov	Саратов,Saratow,Sarátov	node	27504590	place	city	46.03468456043561	51.53001794459027	16	0.5877202466344313		Saratov	городской округ Саратов	Saratov Oblast	Russia	ru	Saratov, Saratov, городской округ Саратов, Saratov Oblast, Volga Federal District	46.03468456043561	51.53001794459027	46.03468456043561	51.53001794459027		ru:Саратов
Saratov	Саратов,Saratow	relation	3955288	place	city	46.0333860920223	51.539527088012065	16	0.5877202466344313		Saratov	городской округ Саратов	Saratov Oblast	Russia	ru	Saratov, городской округ Саратов, Saratov Oblast, Volga Federal District	45.8053142830066	51.39211015640031	46.209715043409766	51.68561582324696		ru:Саратов
Samara	Самара,薩馬拉	node	27503945	place	city	50.11398793963607	53.19862746540387	16	0.5864495650285845		Samara	городской округ Самара	Samara Oblast	Russia	ru	Samara, Samara, городской округ Самара, Samara Oblast, Volga Federal District	50.11398793963607	53.19862746540387	50.11398793963607	53.19862746540387		ru:Самара
Ufa	Уфа,Oufa,烏法,Ufá	node	27504327	place	city	55.94772842684273	54.726286818632616	16	0.585077392339603		Ufa	городской округ Уфа	Bashkortostan	Russia	ru	Ufa, Ufa, городской округ Уфа, Bashkortostan, Volga Federal District	55.94772842684273	54.726286818632616	55.94772842684273	54.726286818632616		ru:Уфа
